,link,category
120,https://www.1mg.com/otc/be-bodywise-hydrocolloid-acne-patch-otc819776,acne-pimples
121,https://www.1mg.com/otc/shower-to-shower-super-cool-with-mint-prickly-heat-powder-otc829014,acne-pimples
122,https://www.1mg.com/otc/shower-to-shower-sandal-prickly-heat-powder-otc829013,acne-pimples
123,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714352,acne-pimples
124,https://www.1mg.com/otc/himalaya-pure-herbs-neem-tablet-60-each-otc856704,acne-pimples
125,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714354,acne-pimples
126,https://www.1mg.com/otc/acnedew-pimple-care-soap-otc750222,acne-pimples
127,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714355,acne-pimples
128,https://www.1mg.com/otc/bbold-dissolvable-microneedle-acne-patch-otc850041,acne-pimples
129,https://www.1mg.com/otc/aaranyaa-anti-acne-face-wash-otc860909,acne-pimples
130,https://www.1mg.com/otc/science-of-him-spotless-acne-control-face-wash-otc728770,acne-pimples
131,https://www.1mg.com/otc/adorreal-marine-collagen-powder-orange-otc775694,acne-pimples
132,https://www.1mg.com/otc/moraze-tea-tree-salicylic-acid-anti-acne-face-serum-otc845109,acne-pimples
133,https://www.1mg.com/otc/the-tribe-concepts-acne-spot-corrector-otc721889,acne-pimples
134,https://www.1mg.com/otc/tata-1mg-antifungal-dusting-powder-for-sweat-rash-itching-skin-irritation-chafing-redness-otc806045,antifungal-creams-and-powders
135,https://www.1mg.com/otc/candid-dusting-powder-otc663587,antifungal-creams-and-powders
136,https://www.1mg.com/otc/candid-dusting-powder-otc663587,antifungal-creams-and-powders
137,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649,antifungal-creams-and-powders
138,https://www.1mg.com/otc/clocip-dusting-powder-otc204487,antifungal-creams-and-powders
139,https://www.1mg.com/otc/candid-dusting-powder-otc651666,antifungal-creams-and-powders
140,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343,antifungal-creams-and-powders
141,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137,antifungal-creams-and-powders
142,https://www.1mg.com/otc/new-abzorb-t-anti-fungal-cream-otc658634,antifungal-creams-and-powders
143,https://www.1mg.com/otc/tetmosol-dusting-powder-anti-fungal-fresh-lime-fragnance-otc785866,antifungal-creams-and-powders
144,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100,antifungal-creams-and-powders
145,https://www.1mg.com/otc/atarax-anti-itch-lotion-quick-relief-from-itching-soothing-action-of-aloe-vera-glycerine-otc377891,antifungal-creams-and-powders
146,https://www.1mg.com/drugs/livafin-cream-298255,antifungal-creams-and-powders
147,https://www.1mg.com/otc/salyzap-body-spray-for-body-acne-otc329207,antifungal-creams-and-powders
148,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649,antifungal-creams-and-powders
149,https://www.1mg.com/drugs/arcolane-2-scalp-solution-152536,antifungal-creams-and-powders
150,https://www.1mg.com/drugs/fungicide-lotion-75571,antifungal-creams-and-powders
151,https://www.1mg.com/drugs/amrolstar-nail-lacquer-556252,antifungal-creams-and-powders
152,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137,antifungal-creams-and-powders
153,https://www.1mg.com/drugs/fungicros-cream-541384,antifungal-creams-and-powders
154,https://www.1mg.com/drugs/abzorb-antifungal-soap-554063,antifungal-creams-and-powders
155,https://www.1mg.com/otc/megaheal-gel-otc120932,antifungal-creams-and-powders
156,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099,antifungal-creams-and-powders
157,https://www.1mg.com/drugs/fucidin-cream-10809,antifungal-creams-and-powders
158,https://www.1mg.com/drugs/kz-lotion-33593,antifungal-creams-and-powders
159,https://www.1mg.com/otc/zitcare-s-gel-otc340865,antifungal-creams-and-powders
160,https://www.1mg.com/drugs/onabet-2-cream-177605,antifungal-creams-and-powders
161,https://www.1mg.com/drugs/loceryl-nail-lacquer-59431,antifungal-creams-and-powders
162,https://www.1mg.com/drugs/onabet-max-cream-376914,antifungal-creams-and-powders
163,https://www.1mg.com/drugs/mycoderm-c-dusting-powder-sandalwood-fragrance-624756,antifungal-creams-and-powders
164,https://www.1mg.com/drugs/ketostar-cream-385784,antifungal-creams-and-powders
165,https://www.1mg.com/otc/clocip-dusting-powder-otc323270,antifungal-creams-and-powders
166,https://www.1mg.com/drugs/candid-lotion-323977,antifungal-creams-and-powders
167,https://www.1mg.com/drugs/kz-cream-33576,antifungal-creams-and-powders
168,https://www.1mg.com/drugs/zocon-1-dusting-powder-140958,antifungal-creams-and-powders
169,https://www.1mg.com/drugs/surfaz-cream-204626,antifungal-creams-and-powders
170,https://www.1mg.com/drugs/candid-gold-dusting-powder-221759,antifungal-creams-and-powders
171,https://www.1mg.com/drugs/fungicros-cream-351236,antifungal-creams-and-powders
172,https://www.1mg.com/drugs/af-k-lotion-167036,antifungal-creams-and-powders
173,https://www.1mg.com/drugs/flucos-dusting-powder-136073,antifungal-creams-and-powders
174,https://www.1mg.com/drugs/onabet-lotion-249463,antifungal-creams-and-powders
175,https://www.1mg.com/otc/nmf-e-urea-cream-otc341255,antifungal-creams-and-powders
176,https://www.1mg.com/drugs/novale-bar-182238,antifungal-creams-and-powders
177,https://www.1mg.com/drugs/imidil-cream-152717,antifungal-creams-and-powders
178,https://www.1mg.com/drugs/livafin-cream-73887,antifungal-creams-and-powders
179,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343,antifungal-creams-and-powders
180,https://www.1mg.com/otc/seboclear-lotion-otc241572,antifungal-creams-and-powders
181,https://www.1mg.com/drugs/nuforce-dusting-powder-74390,antifungal-creams-and-powders
182,https://www.1mg.com/otc/candid-dusting-powder-otc663587,antifungal-creams-and-powders
183,https://www.1mg.com/drugs/loceryl-cream-59430,antifungal-creams-and-powders
184,https://www.1mg.com/drugs/mycospor-cream-640886,antifungal-creams-and-powders
185,https://www.1mg.com/drugs/kz-dusting-powder-468933,antifungal-creams-and-powders
186,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343,antifungal-creams-and-powders
187,https://www.1mg.com/drugs/keto-dusting-powder-435692,antifungal-creams-and-powders
188,https://www.1mg.com/drugs/leezole-dusting-powder-316855,antifungal-creams-and-powders
189,https://www.1mg.com/otc/tetmosol-dusting-powder-anti-fungal-otc650292,antifungal-creams-and-powders
190,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100,antifungal-creams-and-powders
191,https://www.1mg.com/drugs/amorfine-cream-368765,antifungal-creams-and-powders
192,https://www.1mg.com/drugs/surfaz-dusting-powder-301749,antifungal-creams-and-powders
193,https://www.1mg.com/drugs/danstop-k-lotion-161584,antifungal-creams-and-powders
194,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649,antifungal-creams-and-powders
195,https://www.1mg.com/drugs/canrolfin-cream-474959,antifungal-creams-and-powders
196,https://www.1mg.com/drugs/pamoria-cream-506077,antifungal-creams-and-powders
197,https://www.1mg.com/drugs/amrolstar-cream-513507,antifungal-creams-and-powders
198,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137,antifungal-creams-and-powders
199,https://www.1mg.com/otc/candid-dusting-powder-otc651664,antifungal-creams-and-powders
200,https://www.1mg.com/drugs/tyza-dusting-powder-36449,antifungal-creams-and-powders
201,https://www.1mg.com/drugs/af-c-dusting-powder-337751,antifungal-creams-and-powders
202,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099,antifungal-creams-and-powders
203,https://www.1mg.com/drugs/crousho-gel-341762,antifungal-creams-and-powders
204,https://www.1mg.com/drugs/szhh-cream-515298,antifungal-creams-and-powders
205,https://www.1mg.com/drugs/sertaspor-cream-350204,antifungal-creams-and-powders
206,https://www.1mg.com/drugs/panderm-dusting-powder-148101,antifungal-creams-and-powders
207,https://www.1mg.com/drugs/rolfin-cream-489570,antifungal-creams-and-powders
208,https://www.1mg.com/drugs/flucos-lotion-240624,antifungal-creams-and-powders
209,https://www.1mg.com/drugs/onecan-dusting-powder-166214,antifungal-creams-and-powders
210,https://www.1mg.com/drugs/amluck-cream-385618,antifungal-creams-and-powders
211,https://www.1mg.com/otc/vasu-cutis-dusting-powder-otc233918,antifungal-creams-and-powders
212,https://www.1mg.com/drugs/amortas-cream-367940,antifungal-creams-and-powders
