,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
3282,CYSTAMINE BIS-SALICY-,,,,168961-92-0,,"Benzamide, N,N'-(dithiodi-2,1-ethanediyl)bis[2-hydroxy-",Skin conditioning
3283,LAMIDE,,,,,,,
3284,CYSTEAMINE HCL,cysteamine hydro-,,,156-57-0,205-858-1,Mercaptamine hydrochloride,Antioxidant/reducing/antioxidant/
3285,,chloride,,,,,,reducing
3286,CYSTEINE,cysteine,,,52-90-4,200-158-2,L-cysteine,Antioxidant/antistatic/reducing/hair
3287,,,,,,,,conditioning
3288,CYSTEINE HCL,cysteine hydrochlor-,,,52-89-1,200-157-7,Cysteine hydrochloride,Antioxidant/reducing
3289,,ide,,,,,,
3290,CYSTINE,cystine,,,56-89-3,200-296-3,Cystine,Antistatic/hair conditioning
3291,CYTISUS SCOPARIUS,,cytisus,scoparius,84696-48-0,283-653-6,"Cytisus Scoparius Extract
is an extract of
the flowers of
the",Tonic
3292,EXTRACT,,,,,,"broom, Cytisus scoparius, Leguminosae",
3293,CYTOCHROME C,,,,9007-43-6,232-700-9,Cytochrome c,Skin conditioning
3294,DALEA SPINOSA OIL,,,,,,"Dalea Spinosa Oil
is the fixed oil expressed from the seeds of",Emollient
3295,,,,,,,"Dalea spinosa, Leguminosae",
3296,DAMAR,,,,9000-16-2,232-528-4,Dammar. Extractives and their physically modified deriva-,Viscosity controlling
3297,,,,,,,tives It is a product which may contain resin acids and their,
3298,,,,,,,"esters,
terpenes, and oxidation or polymerization products",
3299,,,,,,,"of
these terpenes.
(Shorea, Dipterocarpaceae)",
3300,DATEM,,,,,,"Diacetyl
tartaric acid fatty acid mono-, diglyceride ester",Hair conditioning/skin condition-
3301,,,,,,,,ing/emollient/surfactant/emulsify-
3302,DAUCUS CAROTA,,,,"Daucus Sativa is the plant material derived from the roots of
Emollient/astringent",,,
3303,,,,,"the carrot, Daucus carota sativa, Umbelliferae",,,
