,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
7570,METHYL HEXYL ETHER,,,1040030,225-263-0,1-methoxyhexane,,Solvent
7571,METHYL HYDROGE-,,,8050-15-5/,232-476-2,"Resin acids and Rosin acids, hydrogenated, Me esters",,Film forming/skin conditioning
7572,NATED ROSINATE,,,8050-13-3,,,,
7573,METHYL HYDROXYCETYL,,,,,"D-glucitol, 1-deoxy-1-(N-methyl-N-(2-hydroxyhexadecyl)",,Antistatic/skin conditioning/hair
7574,GLUCAMINIUM LACTATE,,,,,"amino)-, 2-hydroxypropanoate",,conditioning
7575,2-METHYL-5-HYDRO-,,,55302-96-0,259-583-7,5-[(2-hydroxyethyl)amino]-o-cresol,,Hair dyeing
7576,XYETHYLAMINOPHENOL,,,,,,,
7577,METHYL HYDRO-,,methylhydroxyethylcel-,9032-42-2,,"Cellulose methyl ether, 2-hydroxyethyl ether",,Viscosity controlling/stabilising
7578,XYETHYLCELLULOSE,,lulosum,,,,,
7579,METHYL HYDROXY-,,,14408-42-5,238-387-5,2-(8-heptadecenyl)-4-methyl-2-oxazoline-4-methanol,,Antistatic/hair conditioning
7580,METHYL OLEYL OXAZO-,,,,,,,
7581,LINE,,,,,,,
7582,2-METHYL-4-HYDROXY-,,,,,"4-pyrrolidinol, 2-methyl-",,Oral care/soothing/skin condition-
7583,PYRROLIDINE,,,,,,,ing
7584,METHYL HYDROXYSTEA-,,,141-23-1,205-471-8,Methyl 12-hydroxyoctadecanoate,,Emollient/skin conditioning
7585,RATE,,,,,,,
7586,METHYL ISOSTEARATE,,,68517-10-2,,"Isooctadecanoic acid, methyl ester",,Emulsifying/skin conditioning
7587,METHYL LAURATE,,,111-82-0,203-911-3,"Methyl
laurate",,Emollient/skin conditioning
7588,METHYL LINOLEATE,,,112-63-0,203-993-0,"Methyl
linoleate",,Emollient/skin conditioning
7589,METHYL METHACRYLATE,,,,,,,Film forming
7590,CROSSPOLYMER,,,,,,,
7591,METHYL 3-METHYLRE-,,,33662-58-7,251-618-4,"Methyl 2,4-dihydroxy-m-toluate",,Masking
7592,SORCYLATE,,,,,,,
7593,METHYL MORPHOLINE,,,7529-22-8,231-391-8,4-Methylmorpholine 4-oxide monohydrate,,Surfactant/foam boosting/cleansing
7594,OXIDE,,,,,,,
7595,METHYL MYRISTATE,,,124-10-7,204-680-1,Methyl myristate,,Emollient/skin conditioning
7596,METHYL NICOTINATE,,,93-60-7,202-261-8,"3-Pyridinecarboxylic acid, methyl ester",,Soothing/tonic
7597,METHYL OLEATE,,,112-62-9,203-992-5,Methyl oleate,,Emollient/skin conditioning
7598,METHYL PALMATE,,,91051-34-2,293-086-6,"Fatty acids, palm-oil, Me esters",,Skin conditioning/emollient
7599,METHYL PALMITATE,,,112-39-0,203-966-3,Methyl palmitate,,Emollient/skin conditioning
7600,METHYL PELARGONATE,,,,1731-84-6,217-052-7,Methyl nonanoate,Emollient/skin conditioning
7601,METHYL PHENYLBUTA-,,,,103-05-9,203-074-4,2-Methyl-4-phenylbutan-2-ol,Masking
7602,NOL,,,,,,,
7603,METHYL PYRROLIDONE,,,,872-50-4,204-438-5,1-methylpyrrolidine,Surfactant
7604,METHYL RICINOLEATE,,,,141-24-2,205-472-3,Methyl ricinoleate,Emollient/skin conditioning
7605,METHYL ROSINATE,,,,68186-14-1,269-035-9,"Resin acids and Rosin acids, Me esters",Film forming/skin conditioning
7606,METHYL SALICYLATE,methyl salicylate,methylis,salicylas,119-36-8,204-317-7,Methyl salicylate,Denaturant/soothing
7607,METHYL SOYATE,,,,68919-53-9,272-898-4,"Fatty acids, soya, Me esters",Skin conditioning/emollient
7608,METHYL STEARATE,,,,112-61-8,203-990-4,Methyl stearate,Emollient/skin conditioning
7609,METHYL THIOGLYCOLATE,,,,2365-48-2,219-121-7,Methyl mercaptoacetate,"III/1,2b
Hair waving or straightening"
7610,2-METHYL-1-NAPHTHOL,,,,7469-77-4,231-265-2,2-Methyl-1-naphthol,Hair dyeing
7611,METHYLAL,,,,109-87-5,203-714-2,Dimethoxymethane,Solvent
7612,3-METHYLAMINO-4-,,,,59820-63-2,261-940-7,2-[3-(methylamino)-4-nitrophenoxy]ethanol,Hair dyeing
7613,NITROPHENOXYETHA-,,,,,,,
7614,NOL,,,,,,,
7615,METHYLBENZETHONIUM,methylbenzetho-,,,25155-18-4,246-675-7,Methylbenzethonium chloride,Antimicrobial/antistatic/deodorant/
7616,CHLORIDE,nium chloride,,,,,,surfactant
7617,4-METHYLBENZYLIDENE,,,,36861-47-9/,253-242-6,"(.+-.)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo","VII/1,18
Uv absorber/uv filter"
7618,CAMPHOR,,,,38102-62-4,,[2.2.1]heptan-2-one,
7619,METHYLBUTENES,,,,26760-64-5,247-975-0,2-Methylbutene,Solvent
7620,METHYLCELLULOSE,methylcellulose,methylcellulosum,,9004-67-5,,"Cellulose, methyl ether",Binding/emulsion stabilising/visc-
7621,,,,,,,,osity controlling/stabilising
7622,METHYLCHLOROISO-,,,,26172-55-4,247-500-7,5-chloro-2-methyl-2H-isothiazol-3-one,"VI/1,39
Preservative"
7623,THIAZOLINONE,,,,,,,
7624,METHYLDIBROMO GLU-,,,,35691-65-7,252-681-0,2-bromo-2-(bromomethyl)pentanedinitrile,"VI/1,36
Preservative"
7625,TARONITRILE,,,,,,,
7626,METHYLDIHYDROJASMO-,,,2630-39-9,220-112-5,"Methyl
(1R-trans)-3-oxo-2-pentylcyclopentaneacetate",Masking,
7627,NATE,,,,,,,
7628,METHYLENE DI-T-BUTYL-,,,119-47-1,204-327-1,"6,6'-Di-tert-Butyl-2,2'-Methylenedi-p-cresol",Antioxidant,
7629,CRESOL,,,,,,,
7630,METHYLENEBIS TALLOW,,,,,"Ethanaminium, N-(tallow alkyl)-N,N-dimethyl-2-oxo-2-",Antistatic,
7631,ACETAMIDODIMONIUM,,,,,"amino-, N,N'-methylenebis-",,
7632,CHLORIDE,,,,,,,
7633,"3,4-METHYLENEDIOXYA-",,,14268-66-7,238-161-6,"3,4-(methylenedioxy)aniline",Hair dyeing,
7634,NILINE,,,,,,,
7635,"3,4-METHYLENEDIOXY-",,,533-31-3,208-561-5,"3,4-(methylenedioxy)phenol",Hair dyeing,
7636,PHENOL,,,,,,,
7637,METHYLETHANOLAMINE,,,109-83-1,203-710-0,2-methylaminoethanol,"III/1,61
Buffering",
7638,METHYLGLUCAMINE,,,6284-40-8,228-506-9,"D-Glucitol, 1-deoxy-1-(methylamino)-",Hair conditioning,
7639,METHYLGLUCOSE DIOLE-,,,224580-86-3,,"Methyl-D-glucopyranoside, 12-hydroxyoctadecanoate di-",Surfactant/emulsifying,
7640,ATE/HYDROXYSTEARATE,,,,,(9Z)-9-octadecenoate,,
7641,METHYLISOTHIAZOLI-,,,2682-20-4,220-239-6,2-methyl-2H-isothiazol-3-one,"VI/1,39
Preservative",
7642,NONE,,,,,,,
7643,METHYLPARABEN,methylparaben,methylis parahydroxy-,99-76-3,202-785-7,Methyl 4-hydroxybenzoate,"VI/1,12
Preservative",
7644,,,benzoas,,,,,
7645,METHYLPROPANEDIOL,,,,,,Solvent,
7646,2-METHYLRESORCINOL,,,608-25-3,210-155-8,"1,3-Benzenediol, 2-methyl-",Hair dyeing,
7647,METHYLSILANOL ACET-,,,105883-43-0,,"L-methionine, N-acetyl-, dihydroxymethylsilyl ester",Antistatic/skin conditioning/hair,
7648,YLMETHIONATE,,,,,,conditioning,
7649,METHYLSILANOL ACET-,,,105883-45-2,,"L-tyrosine, N-acetyl-o-(dihydroxymethylsilyl)-",Antistatic/skin conditioning,
7650,YLTYROSINE,,,,,,,
7651,METHYLSILANOL ASCOR-,,,187991-39-5,,"L-Ascorbic acid, 6-O-(dihydroxymethylsilyl)",Antioxidant,
7652,BATE,,,,,,,
7653,METHYLSILANOL CAR-,,,105883-42-9,,"7H-purine-7-acetic acid, 1,2,3,6-tetrahydro-1,3-dimethyl-",Skin conditioning,
7654,BOXYMETHYL THEO-,,,,,"2,6-dioxo-, dihydroxymethylsilyl ester",,
7655,PHYLLINE,,,,,,,
7656,METHYLSILANOL CAR-,,,,,"reaction product of methyl-silanol carboxymethyl
theo-",Skin conditioning,
7657,BOXYMETHYL THEO-,,,,,phylline and alginic acid,,
7658,PHYLLINE ALGINATE,,,,,,,
7659,METHYLSILANOL ELASTI-,,,133101-79-8,,"elastins, esters with hydroxy-terminated hydroxy Me",Antistatic/skin conditioning,
7660,NATE,,,,,siloxanes,,
7661,METHYLSILANOL GLY-,,,,,"Alpha-d-glucopyranosiduronic acid,
(3beta,20beta)-20-car-",Skin conditioning,
7662,CYRRHIZINATE,,,,,boxy-11-oxo-30-norolean-12-en-3-yl 2-o-beta-d-glucopyra-,,
7663,,,,,,"nosyl-, dihydroxymethylsilyl ester",,
7664,METHYLSILANOL,,,105883-44-1,,"L-proline, 5-hydroxy-, dihydroxymethylsilyl ester",Antistatic/skin conditioning,
7665,HYDROXYPROLINE,,,,,,,
7666,METHYLSILANOL,,,,,,Antistatic/skin conditioning,
7667,HYDROXYPROLINE,,,,,,,
7668,ASPARTATE,,,,,,,
7669,METHYLSILANOL MAN-,,,128973-71-7,,"Siloxanes and Silicones, alpha-D-mannopyranuronoyl-oxy",Antistatic/skin conditioning,
7670,NURONATE,,,,,"Me, hydroxy-terminated",,
7671,METHYLSILANOL PCA,,,105883-41-8,,"L-proline, 5-oxo-, dihydroxymethylsilyl ester",Humectant/skin conditioning,
7672,METHYLSILANOL PEG-7,,,106040-46-4,,"Fatty acids, coco, 3-esters with polyethylene glycol dihy-",Emulsifying/skin conditioning,
7673,GLYCERYL COCOATE,,,,,"droxymethylsilyl 2,3-dihydroxypropyl ether",,
7674,METHYLSILANOL SPIRU-,,,188012-54-6,,"Proteins, Spirulina, reaction products with methylsilanetriol",Skin conditioning,
7675,LINATE,,,,,,,
7676,METHYLSILANOL TRI-,,,128973-72-8,,"Fatty acids, coco, ester with .alpha.,
.alpha.',
.alpha.""-",Emulsifying/skin conditioning,
7677,PEG-8 GLYCERYL COCO-,,,,,"(methylsilylidyne)tris (.omega.-(2,3-dihydroxypropoxy)poly",,
7678,ATE,,,,,"(oxy-1,2-ethanediyl))",,
7679,METHYLSTYRENE/VINYL-,,,9017-27-0,,"Benzene, ethenylmethyl-, polymer with (1-methylethenyl)",Viscosity controlling,
7680,TOLUENE COPOLYMER,,,,,benzene,,
7681,MIBK,methyl,isobutyl,108-10-1,203-550-1,4-methylpentan-2-one,Denaturant/solvent,
7682,,ketone,,,,,,
7683,MICA,,,12001-26-2,310-127-6,Mica-group minerals (CI 77019),Opacifying,
7684,MICROCOCCUS LYSATE,,,,"Product of
the controlled lysisof Micrococcus species",Skin conditioning,,
7685,MICROCRYSTALLINE CEL-,,,,,Absorbent/emulsion stabilising/,,
7686,LULOSE,,,,,opacifying/viscosity controlling/sta-,,
7687,,,,,,bilising/anticaking/bulking,,
7688,MILK AMINO ACIDS,,,"92797-39-2
296-575-2","Protein hydrolyzates, milk. Substance obtained by acidic,",Antistatic/hair conditioning/skin,,
7689,,,,,"alkaline, or enzymatic hydrolysis of milk composed",conditioning,,
7690,,,,,"primarily of amino acids, peptides, and proteins.
It may",,,
7691,MINKAMIDOPROPYL,,,,,"1-propanaminium, N,N-dimethyl-N-ethyl-3-amino-, N-",Antistatic/hair conditioning,
7692,ETHYLDIMONIUM ETHO-,,,,,"mink-oil acyl derivs., ethyl sulfate (salts)",,
7693,SULFATE,,,,,,,
7694,MINKAMIDOPROPYLA-,,,,,"1,3-propanediamine, N,N-dimethyl-, N'-mink-oil acyl",Surfactant/hydrotrope/cleansing/,
7695,MINE OXIDE,,,,,"derivs., N-oxides",foam boosting/hair conditioning,
7696,MIPA C12-15 PARETH,,,,,,Surfactant/cleansing,
7697,SULFATE,,,,,,,
7698,MIPA-BORATE,,,68003-13-4,268-109-8,"(2-hydroxypropyl)ammonium dihydrogen orthoborate
III/1,1a",Viscosity controlling,
7699,MIPA-DODECYLBENZENE-,,,54590-52-2/,259-249-0,"P-dodecylbenzenesulphonic acid, compound with 1-ami-",Surfactant/cleansing,
7700,SULFONATE,,,42504-46-1,,"nopropan-2-ol
(1:1)",,
7701,MIPA-LAURETH SULFATE,,,83016-76-6/,,"Lauryl alcohol, polymer with oxirane, sulfuric acid ester, 2-",Surfactant/cleansing,
7702,,,,9062-04-8,,hydroxy-1-aminopropane salt,,
7703,MIPA-LAURYL SULFATE,,,21142-28-9,244-238-5,(2-hydroxypropyl)ammonium decyl sulphate,Surfactant/cleansing,
7704,MITRACARPUS SCABER,,,223747-80-6,,"Mitracarpus Scaber Extract
is an extract of Mitracarpus",Skin conditioning,
7705,EXTRACT,,,,,"scaber, Rubiaceae",,
7706,MIXED CRESOLS,cresol,,1319-77-3,215-293-2,"Phenol, methyl-",Antimicrobial,
7707,MIXED IONONES,,,14901-07-6/,238-969-9/,"4-(2,6,6-trimethylcyclohex-1-ene-1-yl)-but-3-ene-2-one/4-",Masking,
7708,,,,6901-97-9/,230-010-2/,"(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one/ionone",,
7709,,,,8013-90-9,232-396-8,,,
7710,MIXED ISOPROPANOLA-,,,122-20-3/78-,204-528-4/,"1,1',1''-nitrilotripropan-2-ol/1-aminopropan-2-ol
III/1,61",Buffering,
7711,MINES,,,96-6,201-162-7,,,
7712,MIXED ISOPROPANOLA-,,,85536-46-5/,287-529-2/,"Fatty acids,
lanolin, compds. with isopropanolamine/Fatty",Emulsifying/surfactant,
7713,MINES LANOLATE,,,85536-47-6,287-530-8,"acids,
lanolin, compds. with triisopropanolamine",,
7714,MIXED ISOPROPANOLA-,,,68877-25-8,244-238-5/,(2-hydroxypropyl)ammonium decyl sulphate/decyl hydro-,Emulsifying/surfactant,
7715,MINES LAURYL SULFATE,,,,266-195-1,"gen sulphate, compound with 1,1',1''-nitrilotripropan-2-ol",,
7716,MIXED ISOPROPANOLA-,,,64012-06-2/,264-601-1/,(2-hydroxypropyl)ammonium myristate/tris(2-hydroxypro-,Emulsifying/surfactant,
7717,MINES MYRISTATE,,,83292-27-7,280-371-5,pyl)ammonium myristate,,
7718,MIXED TERPENES,,,,,Terpenes and terpenoids,Solvent,
7719,MOLYBDENUM ASPAR-,,,,"L-Aspartic acid, molybdenum complex
Skin conditioning",,,
7720,TATE,,,,,,,
7721,MONARDA DIDYMA,,,"91722-89-3
294-492-6","Monarda Didyma Extract
is an extract of
the leaves of
the
Tonic",,,
7722,EXTRACT,,,,"bee balm, Monarda didyma, Labiatae",,,
7723,MONARDA DIDYMA OIL,,,,"Monarda Didyma Oil
is the volatile oil obtained from the
Tonic",,,
7724,,,,,"leaves of
the bee balm, Monarda didyma, Labiatae",,,
7725,MONASCUS/ORYZA,,,,"Product obtained by the fermentation of rice by Monascus
Skin protecting",,,
7726,SATIVA FERMENT,,,,purpureus,,,
7727,MONOSACCHARIDE LAC-,,,,"2-hydroxypropanoic acid, reaction product with glucose,
Antistatic/skin conditioning",,,
7728,TATE CONDENSATE,,,,"fructose, glucosamine,
ribose and deoxyribose",,,
7729,MONTAN ACID WAX,,,"68476-03-9
270-664-6","Fatty acids, montan-wax
Antistatic/binding/viscosity con-",,,
7730,,,,,trolling,,,
7731,MONTAN CERA,,,"8002-53-7
232-313-5","Montan wax. Wax obtained by extraction of
lignite
Antistatic/binding/opacifying/visc-",,,
7732,,,,,osity controlling,,,
7733,MONTMORILLONITE,,,"1318-93-0
215-288-5","Montmorillonite
Absorbent/emulsion stabilising/",,,
7734,,,,,viscosity controlling/bulking/stabi-,,,
7735,,,,,lising,,,
7736,MORINGA PTERYGOS-,,,"93165-54-9
296-941-1","Emollient
Moringa Pterygosperma Oil
is the oil obtained from the",,,
7737,PERMA OIL,,,,"seeds of
the tropical
tree Moringa pterygosperma, Mor-",,,
7738,,,,,ingaceae,,,
7739,MORTIERELLA ISABEL-,,,,"Mortierella Isabellina Oil
is an oil obtained from culturing
Emollient",,,
7740,LINA OIL,,,,"Mortierella isabellina, Mortierellaceae",,,
7741,MORUS ALBA EXTRACT,,,"94167-05-2
303-403-2","Morus Alba Extract
is an extract of
the dried leaves of
the
Smoothing",,,
7742,,,,,"white mulberry, Morus alba, Moraceae",,,
7743,MORUS ALBA ROOT,,,"94167-05-2
303-403-2","Morus Alba Root Extract
is an extract of
the roots of
the
Skin conditioning",,,
7744,EXTRACT,,,,"white mulberry, Morus alba, Moraceae",,,
7745,MORUS BOMBYCIS,,,,"Morus Bombycis Extract
is an extract of
the dried leaves of
Smoothing",,,
7746,EXTRACT,,,,"the mulberry, Morus bombycis, Moraceae",,,
7747,MORUS BOMBYCIS ROOT,,,,"Morus Bombycis Root Extract
is an extract of
the roots of
Skin conditioning",,,
7748,EXTRACT,,,,"the mulberry, Morus bombycis, Moraceae",,,
7749,MORUS NIGRA EXTRACT,,,"90064-11-2
290-072-1","Morus Nigra Extract
is an extract of
the dried leaves of
the",Smoothing,,
7750,,,,,"black mulberry, Morus nigra, Moraceae",,,
7751,MORUS NIGRA ROOT,,,"90064-11-2
290-072-1","Morus Nigra Root Extract
is an extract of
the roots of
the",Skin conditioning,,
7752,EXTRACT,,,,"black mulberry, Morus nigra, Moraceae",,,
7753,MUSA SAPIENTIUM,,,"89957-82-4
289-602-4","Musa Sapientium Extract
is an extract of
the fruit of
the",Skin conditioning/astringent,,
7754,EXTRACT,,,,"banana, Musa sapientium, Musaceae",,,
7755,MUSA SAPIENTIUM LEAF,,,"89957-82-4
289-602-4","Musa Sapientium Leaf Extract
is an extract of
the leaves of",Skin conditioning,,
7756,EXTRACT,,,,"the banana, Musa sapientium, Musaceae",,,
7757,MUSCLE EXTRACT,,,"91053-75-7
293-340-6","Muscle Extract
is an extract obtained from mammalian",skin protecting,,
7758,,,,,muscle,,,
7759,MUSK KETONE,,,,,Masking,,
7760,MUSTELA CERA,,,,Mustela Cera is the solid fraction derived from the mink,Emollient/film forming/skin condi-,,
7761,,,,,(Mustela) oil,tioning/hair conditioning,,
7762,MUSTELA OIL,,,"8023-74-3
232-423-3","Mustela Oil
is the oil obtained from the subdermal
fatty",Emollient/skin conditioning/hair,,
7763,,,,,"tissues of
the mink, Mustela, Mustelidae",conditioning,,
7764,MYOSOTIS SYLVATICA,,,223747-82-8,"Myosotis Sylvatica Extract is an extract of
the aerial parts of",Skin conditioning,,
7765,EXTRACT,,,,"Myosotis sylvatica, Boraginaceae",,,
7766,MYRETH-2,,,27306-79-2,"Poly(oxy-1,2-ethanediyl),
.alpha.-tetradecyl-.omega.-",Emulsifying,,
7767,,,,,hydroxy-,,,
7768,MYRETH-2 MYRISTATE,,,59686-68-9,"Poly(oxy-1,2-ethanediyl),
.alpha.-(1-oxotetradecyl)-.omega.-",Emollient/surfactant/skin condi-,,
7769,,,,,(tetradecyloxy)-,tioning,,
7770,MYRETH-3,,,27306-79-2,"Poly(oxy-1,2-ethanediyl),
.alpha.-tetradecyl-.omega.-",emulsifying,,
7771,,,,,hydroxy-,,,
7772,MYRETH-3 CAPRATE,,,,,Emollient/skin conditioning,,
7773,MYRETH-3 CARBOXYLIC,,,,,Surfactant/cleansing,,
7774,ACID,,,,,,,
7775,MYRETH-3 ETHYLHEX-,,,125804-11-7,,Emollient/skin conditioning,,
7776,ANOATE,,,,,,,
7777,MYRETH-3 LAURATE,,,"84605-13-0
283-390-7","2-[2-[2-(tetradecyloxy)ethoxy]ethoxy]ethyl
laurate",Emollient/skin conditioning,,
7778,MYRETH-3 MYRISTATE,,,59686-68-9,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(1-oxotetradecyl)-.omega.-",Emollient/surfactant/skin condi-,
7779,,,,,,(tetradecyloxy)-,tioning,
7780,MYRETH-3 PALMITATE,,,84605-14-1,283-391-2,2-[2-[2-(tetradecyloxy)ethoxy]ethoxy]ethyl palmitate,Emollient/skin conditioning,
7781,MYRETH-4,,,27306-79-2/,,"Poly(oxy-1,2-ethanediyl),
.alpha.-tetradecyl-.omega.-",emulsifying,
7782,,,,39034-24-7,,hydroxy-,,
7783,MYRETH-5,,,27306-79-2,,"Poly(oxy-1,2-ethanediyl),
.alpha.-tetradecyl-.omega.-",emulsifying,
7784,,,,,,hydroxy-,,
7785,MYRETH-5 CARBOXYLIC,,,,,,Surfactant/cleansing,
7786,ACID,,,,,,,
7787,MYRETH-10,,,27306-79-2,,"Poly(oxy-1,2-ethanediyl),
.alpha.-tetradecyl-.omega.-",emulsifying,
7788,,,,,,hydroxy-,,
7789,MYRICA CERIFERA CERA,,,8038-77-5,284-518-4,Myrica Cerifera Cera is a wax obtained from the covering of,emollient/film forming,
7790,,,,,,"the berries of
the bayberry, Myrica cerifera, Myricaceae",,
7791,MYRICA CERIFERA,,,84929-34-0,284-518-4,"Myrica Cerifera Extract
is an extract of
the fruit of
the",Hair conditioning/skin condition-,
7792,EXTRACT,,,,,"bayberry, Myrica cerifera, Myricaceae",ing,
7793,MYRICA CERIFERA LEAF,,,84929-34-0,284-518-4,"Myrica Cerifera Leaf Extract is an extract of
the leaves of
the",Hair conditioning/skin condition-,
7794,EXTRACT,,,,,"bayberry, Myrica cerifera, Myricaceae",ing,
7795,MYRICA GALE EXTRACT,,,90064-18-9,290-080-5,Myrica Gale Extract is an extract of the aerial parts of Myrica,Tonic,
7796,,,,,,"gale, Myricaceae",,
7797,MYRICYL ALCOHOL,,,593-50-0,209-794-5,Triacontan-1-ol,Viscosity controlling,
7798,MYRISTALKONIUM,miristalkonium,,139-08-2,205-352-0,"Myristalkonium chloride
VI/1,54",Preservative,
7799,CHLORIDE,chloride,,,,,,
7800,MYRISTALKONIUM SAC-,,,23661-75-8/,245-813-3,"Benzyldimethyl(tetradecyl)ammonium, salt with 1,2-benzi-
VI/1,54",Preservative,
7801,CHARINATE,,,68989-01-5,,"sothiazol-3(2H)-one 1,1-dioxide (1:1)",,
7802,MYRISTAMIDE DEA,,,7545-23-5,231-426-7,"N,N-bis(2-hydroxyethyl)myristamide",Antistatic/viscosity controlling/,
7803,,,,,,,foam boosting,
7804,MYRISTAMIDE MEA,,,142-58-5,205-546-5,N-(2-hydroxyethyl)myristamide,Antistatic/viscosity controlling/,
7805,,,,,,,foam boosting,
7806,MYRISTAMIDE MIPA,,,10525-14-1,234-077-9,N-(2-hydroxypropyl)myristamide,,Antistatic/viscosity controlling/
7807,,,,,,,,foam boosting
7808,MYRISTAMIDOPROPYL,,,59272-84-3,261-684-6,(carboxymethyl)dimethyl-3-[(1-oxotetradecyl)amino]propy-,,Antistatic/surfactant/foam boost-
7809,BETAINE,,,,,lammonium hydroxide,,ing/skin conditioning/cleansing/
7810,,,,,,,,hair conditioning
7811,MYRISTAMIDOPROPYL,,,45267-19-4,256-214-1,N-[3-(dimethylamino)propyl]myristamide,,antistatic
7812,DIMETHYLAMINE,,,,,,,
7813,MYRISTAMIDOPROPYL,,,137145-36-9,,,,surfactant
7814,DIMETHYLAMINE,,,,,,,
7815,DIMETHICONE COPO-,,,,,,,
7816,LYOL PHOSPHATE,,,,,,,
7817,MYRISTAMIDOPROPYL,,,,,"Phosphoric acid, salts with N-[3-(dimethylamino)propyl]",,Surfactant/cleansing
7818,DIMETHYLAMINE PHOS-,,,,,tetradecanamide,,
7819,PHATE,,,,,,,
7820,MYRISTAMIDOPROPYLA-,,,67806-10-4,267-191-2,N-[3-(dimethylamino)propyl]myristamide N-oxide,,Antistatic/surfactant/hair condi-
7821,MINE OXIDE,,,,,,,tioning/cleansing/hydrotrope/foam
7822,,,,,,,,boosting
7823,MYRISTAMINE OXIDE,,,3332-27-2,222-059-3,"N,N-dimethyltetradecylamine N-oxide",,Antistatic/emulsifying/surfactant/
7824,,,,,,,,cleansing/hair conditioning/foam
7825,,,,,,,,boosting/hydrotrope
7826,MYRISTAMINOPROPIO-,,,14960-08-8,239-033-2,N-tetradecyl-.beta.-alanine,,Antistatic/surfactant/foam boost-
7827,NIC ACID,,,,,,,ing/hair conditioning/cleansing
7828,MYRISTIC ACID,,,544-63-8,208-875-2,Tetradecanoic acid,,Emulsifying/cleansing
7829,MYRISTICA FRAGRANS,,,84082-68-8,282-013-3,"Myristica Fragrans Extract
is an extract of
the fruits of
the",,Tonic/masking
7830,EXTRACT,,,,,"nutmeg, Myristica fragrans, Myristicaceae",,
7831,MYRISTICA FRAGRANS,,,8008-45-5,,"Myristica Fragrans Oil
is the volatile oil obtained from the",,tonic/masking
7832,OIL,,,,,"kernel of
the nutmeg, Myristica fragrans, Myristicaceae",,
7833,MYRISTOYL ETHYL GLU-,,,224965-23-5,,"Ethyl-D-glucopyranoside,
tetradecanoate",,Surfactant/emulsifying
7834,COSIDE,,,,,,,
7835,MYRISTOYL GLUTAMIC,,,53576-52-6,,"L-Glutamic acid, N-(1-oxotetradecyl)-",,Skin conditioning/hair condition-
7836,ACID,,,,,,,ing
7837,MYRISTOYL GLYCINE/HIS-,,,,,"Glycine, histidine,
lysine polypeptide, N-tetradecanoyl",,Skin conditioning
7838,TIDINE/LYSINE POLYPEP-,,,,,derivatives,,
7839,TIDE,,,,,,,
7840,MYRISTOYL HYDRO-,,,72319-06-3,,"Gelatins, hydrolyzates, myristoyl derivatives",,Antistatic/emollient/surfactant/skin
7841,LYZED COLLAGEN,,,,,,,conditioning/hair conditioning/
7842,,,,,,,,cleansing
7843,MYRISTOYL LACTYLIC,,,18696-55-4,,2-(1-oxo-2-(1-oxotetradecyloxy)propyloxy)propanoic acid,,Surfactant/emulsifying
7844,ACID,,,,,,,
7845,MYRISTOYL METHYLALA-,,,21539-71-9,,"Beta-alanine, N-methyl-N-(1-oxotetradecyl)-",,Skin conditioning
7846,NINE,,,,,,,
7847,MYRISTOYL SARCOSINE,,,52558-73-3,258-007-1,N-(1-oxotetradecyl)sarcosine,,Antistatic/surfactant/hair condi-
7848,,,,,,,,tioning/cleansing
7849,MYRISTYL ALCOHOL,,,112-72-1,204-000-3,Tetradecanol,,emollient/emulsion stabilising/visc-
7850,,,,,,,,osity controlling/skin conditioning/
7851,,,,,,,,foam boosting
7852,MYRISTYL BETAINE,,,2601-33-4,220-006-9,(carboxylatomethyl)dimethyltetradecylammonium,,Antistatic/surfactant/skin condi-
7853,,,,,,,,tioning/foam boosting/hair condi-
7854,,,,,,,,tioning/cleansing
7855,MYRISTYL ETHYLHEX-,,,72201-45-7,276-456-1,Tetradecyl 2-ethylhexanoate,,Emollient/skin conditioning
7856,ANOATE,,,,,,,
7857,MYRISTYL HYDRO-,,,1841590,230-097-7,"4,5-dihydro-2-tridecyl-1H-imidazole-1-ethanol",,Antistatic/hair conditioning
7858,XYETHYL IMIDAZOLINE,,,,,,,
7859,MYRISTYL ISOSTEARATE,,,94247-26-4,304-203-8,"Tetradecyl
isooctadecanoate",,Emollient/skin conditioning
7860,MYRISTYL LACTATE,,,1323-03-1,215-350-1,"Tetradecyl
lactate",,Emollient/skin conditioning
7861,MYRISTYL LIGNOCERATE,,,42233-51-2,,"Tetracosanoic acid,
tetradecyl ester",,Emollient/skin conditioning
7862,MYRISTYL MYRISTATE,,,3234-85-3,221-787-9,Tetradecyl myristate,,Emollient/opacifying/skin condi-
7863,,,,,,,,tioning
7864,MYRISTYL NEOPENTANO-,,,,,"2,2-dimethylpropanoic acid,
tetradecyl ester",,Emollient/skin conditioning
7865,ATE,,,,,,,
7866,MYRISTYL PROPIONATE,,,6221-95-0,228-300-9,Tetradecyl propionate,,Emollient/skin conditioning
7867,MYRISTYL SALICYLATE,,,,19666-17-2,,"Benzoic acid, 2-hydroxy-,
tetradecyl ester",Skin conditioning
